"","cluster","NoDur","Durbl","Manuf","Enrgy","Chems","BusEq","Telcm","Utils","Shops","Hlth","Money","Other","Prob"
"1",1,-0.24,-7.815,-3.995,1.79,-1.66,-3.22,-4.39,0.705,-0.88,-3.8,-3.025,-3.29,0.0166666666666667
"2",2,0.6,-0.28,4.17,19.03,4.1,-0.18,-0.14,2.32,0.86,2.47,-0.23,1.12,0.00833333333333333
"3",3,0.739,-3.403,-0.517,-1.173,0.76,-1.019,0.575,1.421,0.95,0.914,-0.555,0.019,0.0833333333333333
"4",4,-3.365,-7.325,-4.64,-6.38,-4.295,-2.87,-2.955,2.285,-5.995,2.99,-2.56,-3.8,0.0166666666666667
"5",5,3.08166666666667,6.49583333333333,5.34,4.05,3.89666666666667,5.555,3.14,2.5475,4.41083333333333,3.56666666666667,3.5825,3.95333333333333,0.1
"6",6,0.877272727272727,-0.449090909090909,0.849090909090909,4.74909090909091,0.398181818181818,-0.493636363636364,0.904545454545455,2.90181818181818,-0.68,-0.727272727272727,-0.315454545454545,-0.0572727272727273,0.0916666666666667
"7",7,-0.945,-6.845,-3.325,-8.975,-0.79,-1.495,-2.395,-5.14,0.0850000000000001,-1.57,0.925,-1.505,0.0166666666666667
"8",8,-0.6,6.39,6.055,11.7,2.835,5.285,4.175,4.69,3.585,1.29,3.47,1.22,0.0166666666666667
"9",9,2.04,2.28,1.84125,-4.1325,1.82375,3.16375,3.13125,-0.00625,4.4225,2.97375,2.19125,1.91375,0.0666666666666667
"10",10,0.266,5.534,3.592,2.634,0.702,1.298,0.968,-1.138,1.89,-1.092,0.976,2.754,0.0416666666666667
"11",11,-0.628,0.852,-0.876,-2.444,-1.678,-4.168,-0.838,1.444,-0.898,-2.016,-1.348,-1.918,0.0416666666666667
"12",12,3.49,-3.16,-4.69,4.7,-1.65,-3.94,2.31,4.87,-4.31,4.24,1.32,-5.97,0.00833333333333333
"13",13,0.456666666666667,1.12666666666667,3.06666666666667,6.07666666666667,1.20666666666667,4.62,-0.433333333333333,3.98333333333333,-0.373333333333333,0.303333333333333,0.656666666666667,2.31,0.025
"14",14,4.084,1.506,5.066,6.534,4.62,3.904,5.716,2.576,2.31,2.842,2.43,4.46,0.0416666666666667
"15",15,-2.848,-1.942,-2.188,-0.638,-1.346,-0.316,-2.206,-4.446,-2.76,-3.052,-4.332,-2.81,0.0416666666666667
"16",16,-0.74,-9.50333333333333,-5.89333333333333,-4.55,-2.04,-6.67666666666667,-4.22,-0.333333333333333,-5.57666666666667,-1.08,-7.28,-6.82666666666667,0.025
"17",17,-3.615,-3.405,-5.975,-7.04,-4.165,-10.135,-7.255,-5.71,-1.135,-2.27,-1.2,-3.01,0.0166666666666667
"18",18,-0.22,-5.91,-0.16,7.17,2.66,-3.71,-3.67,-3.01,-4.85,-0.9,-10.72,-3.43,0.00833333333333333
"19",19,2.53857142857143,2.36857142857143,2.72428571428571,2.27857142857143,0.951428571428571,3.43142857142857,3.91571428571429,2.97714285714286,1.15285714285714,2.21285714285714,1.32285714285714,2.20571428571429,0.0583333333333333
"20",20,-5.56,-15.885,-10.215,-0.105,-7.37,-6.03,-10.44,-0.695,-7.86,-2.6,-19.13,-11.95,0.0166666666666667
"21",21,1.97,-0.21,-1.97,-15.69,3.22,-0.89,-2.95,-7.23,1.15,6.77,6.65,0.5,0.00833333333333333
"22",22,-2.98,-9.19,-15.57,-12.46,-9.19,-12.61,-12.77,-12.11,-5.78,-5.95,-4.22,-11.45,0.00833333333333333
"23",23,-12.25,-32.63,-23.72,-17.23,-15.6,-18.06,-16.22,-11.07,-15.12,-10.96,-20.03,-20.42,0.00833333333333333
"24",24,-6.73,-11.44,-8.04,-0.45,-7.47,-11.14,-2.3,1.08,-7.68,-7.35,-13.87,-9.13,0.00833333333333333
"25",25,-7.69,-12.82,-15.78,-11.95,-9.75,-4.94,-7.05,-12.65,-3.1,-9.92,-14.54,-13.04,0.00833333333333333
"26",26,6.3,13.225,10.415,6.7,6.05,11.865,7.805,3.215,11.015,8.025,10.835,11.145,0.0166666666666667
"27",27,4.82,42.62,21.08,5.2,11.64,12.48,10.34,2.13,9.56,-0.94,17.04,15.15,0.00833333333333333
"28",28,5,-4.165,2.845,8.31,4.15,3.02,4.305,4.025,0.6,6.455,7.085,4.775,0.0166666666666667
"29",29,0.36,3.71,-1.16,-4.84,-2.67,4.29,1.53,4.66,-0.32,3.54,-1.7,-2.05,0.00833333333333333
"30",30,7.4,16.73,10.53,6.525,10.405,7.935,7.555,5.57,5.685,3.85,7.485,9.49,0.0166666666666667
"31",31,0.786666666666667,2.89,3.81333333333333,1.36,1.73666666666667,3.49333333333333,0.753333333333333,-1.64,3.36,2.56333333333333,6.76666666666667,2.44666666666667,0.025
"32",32,4.8675,7.705,7.0125,5.855,6.3525,5.04,6.39,3.98,5.0175,6.3475,7.31,8.3675,0.0333333333333333
"33",33,-3.485,-10.74,-9.2725,-11.0025,-6.3975,-6.815,-4.4725,-2.1875,-3.7925,-4.695,-9.5675,-6.995,0.0333333333333333
"34",34,3.9725,3.43,2.08,-0.595,2.54,1.8625,3.6725,5.305,3.775,5.295,2.66,1.9625,0.0333333333333333
"35",35,6.57,23.21,16.22,16.42,10.08,11.86,7.58,6.66,9.76,5.54,13.43,13.02,0.00833333333333333
"36",36,-0.875,11.71,6.32,2.22,2.72,6.235,0.29,-4.83,3.13,2.62,7.1,5.345,0.0166666666666667
